SKU,Category,Date,Historical_Price,Recommended_Price,Historical_Volume,Simulated_Volume,Historical_Revenue,Simulated_Revenue,Historical_Margin,Simulated_Margin
SKU0001,Electronics,2025-01-01,11760.661000000002,10272.49,14.6,17.954633795128235,171705.65060000002,184438.79611411685,54905.65060000002,40801.725753090956
SKU0002,Electronics,2025-01-01,19571.524000000005,24843.99,21.300000000000004,13.171060094993798,416873.4612000002,327221.685289425,33473.461200000114,90142.60357953663
SKU0003,Electronics,2025-01-01,37434.674000000006,36240.99,10.3,11.217321912960532,385577.1422000001,406526.8512743835,76577.14220000007,70007.19388556753
SKU0004,Electronics,2025-01-01,13330.321000000004,11458.99,8.900000000000002,11.389770893407489,118639.85690000006,130515.27076984748,38539.85690000004,28007.332729180078
SKU0005,Electronics,2025-01-01,7261.856000000002,7815.49,26.100000000000005,23.5236451135863,189534.44160000008,183848.8131487826,32934.44160000005,42706.94246726479
SKU0006,Electronics,2025-01-01,45548.46800000001,46752.49,28.40000000000001,26.226113917949547,1293576.4912000007,1226136.1286877969,100776.49120000027,124639.34413391599
SKU0007,Electronics,2025-01-01,18431.392,14513.99,10.2,15.353977441578998,188000.1984,222847.47504730316,65600.1984,38599.745748355184
SKU0008,Groceries,2025-01-01,694.7820000000002,776.49,38.2,33.84840235339384,26540.672400000007,26282.94594338678,5530.672400000006,7666.32464902017
SKU0009,Groceries,2025-01-01,1019.1050000000002,1113.99,54.40000000000001,50.57917808846534,55439.31200000003,56344.69859876951,9199.312000000016,13352.397223573966
SKU0010,Groceries,2025-01-01,606.816,544.49,61.40000000000001,69.15334337538424,37258.50240000001,37653.303934462965,11470.502400000005,8608.899716801585
SKU0011,Groceries,2025-01-01,655.3070000000001,675.49,57.3,55.76489446232884,37549.091100000005,37668.628560358506,7753.091100000007,8670.883439947513
SKU0012,Groceries,2025-01-01,456.76700000000005,479.49,62.60000000000001,59.62228421168353,28593.614200000007,28588.289056660135,6057.6142000000045,7124.266740454065
SKU0013,Groceries,2025-01-01,393.388,329.49,46.3,55.24366825128295,18213.8644,18202.236252115217,5249.864399999999,2734.0091417559934
SKU0014,Apparel,2025-01-01,569.0240000000001,649.49,30.90000000000001,26.45446368277948,17582.841600000007,17181.909617328445,2132.8416000000043,3954.6777759387046
SKU0015,Apparel,2025-01-01,1953.38,2099.99,39.2,35.89825128938535,76572.49600000001,75385.96872519633,13852.496000000005,17948.766662179773
SKU0016,Apparel,2025-01-01,3261.5740000000005,2770.49,25.100000000000005,30.792241440183908,81865.50740000003,85309.5969876151,26645.507400000017,17566.66581921051
SKU0017,Apparel,2025-01-01,3343.2410000000004,3674.49,42.60000000000001,37.78555675335313,142422.06660000005,138842.65043462854,23142.066600000024,33043.09152523977
SKU0018,Apparel,2025-01-01,2424.4040000000005,2640.99,32.7,29.401919623792534,79278.01080000002,77650.17570723983,17148.010800000015,21786.52842203402
SKU0019,Apparel,2025-01-01,2235.6550000000007,1840.49,22.300000000000004,28.28969959003092,49855.10650000002,52066.90919845601,16405.106500000016,9632.359813409628
SKU0020,Home & Kitchen,2025-01-01,6571.426000000001,6303.99,22.300000000000004,23.61532630217666,146542.79980000007,148870.78085565864,35042.79980000004,30794.149344775335
SKU0021,Home & Kitchen,2025-01-01,4549.018,5013.99,25.500000000000004,22.398079264538254,115999.95900000002,112303.74545160215,19099.959000000003,27191.04424635679
SKU0022,Home & Kitchen,2025-01-01,4770.926000000001,3989.49,11.200000000000005,14.246852429635016,53434.37120000004,56837.6752995046,17594.371200000023,11247.747524672546
SKU0023,Home & Kitchen,2025-01-01,7211.424000000001,8749.49,26.1,19.656627736412197,188218.16640000005,171985.46781346115,18568.166400000024,44217.38752678187
SKU0024,Home & Kitchen,2025-01-01,2287.2830000000004,2425.49,22.800000000000004,21.188448240829807,52150.052400000015,51392.36932365028,11110.05240000001,13253.162490156632
SKU0025,Home & Kitchen,2025-01-01,1915.235,1773.49,16.800000000000004,18.481839368207844,32175.948000000008,32777.35730112293,8655.948,6902.782185631948
SKU0026,Beauty & Personal Care,2025-01-01,1210.0080000000005,1152.49,34.400000000000006,35.9338285790864,41624.275200000026,41413.37809911129,10664.275200000018,9072.932377933526
SKU0027,Beauty & Personal Care,2025-01-01,638.5930000000001,623.49,31.500000000000004,32.185990073338594,20115.679500000006,20067.64295082588,4365.679500000003,3974.6479141565833
SKU0028,Beauty & Personal Care,2025-01-01,733.8890000000001,855.49,33.00000000000001,28.27513526619361,24218.33700000001,24189.095468875974,2768.3370000000045,5810.257545850125
SKU0029,Beauty & Personal Care,2025-01-01,2296.871,2261.99,40.400000000000006,41.01991529911693,92793.58840000002,92786.6382074495,20073.588400000008,18950.790669039023
SKU0030,Beauty & Personal Care,2025-01-01,2924.737,2667.99,40.00000000000001,43.84403950760827,116989.48000000003,116975.45896590379,28989.480000000007,20518.572049165585
SKU0031,Beauty & Personal Care,2025-01-01,467.89400000000006,606.49,42.50000000000001,33.1740962688374,19885.495000000006,20119.757646087197,760.4950000000027,5191.414325110365
SKU0032,Sports & Fitness,2025-01-01,3834.0970000000007,3814.49,28.700000000000003,28.891306703084595,110038.58390000003,110205.60050584916,23938.58390000002,23531.680396595366
SKU0033,Sports & Fitness,2025-01-01,1113.56,1135.99,22.1,21.57371881477992,24609.676,24507.52883640184,4719.6759999999995,5091.181903099913
SKU0034,Sports & Fitness,2025-01-01,1982.3660000000004,2353.99,35.50000000000001,28.709996635287272,70373.99300000003,67583.04497949989,6473.993000000017,15905.05103598279
SKU0035,Sports & Fitness,2025-01-01,824.6130000000002,843.99,30.200000000000003,29.381489463430157,24903.31260000001,24797.683292240417,3763.3126000000057,4230.640667839309
SKU0036,Sports & Fitness,2025-01-01,3509.6390000000006,3249.99,20.6,22.74513603113932,72298.56340000001,73921.46464984247,18738.563400000014,14784.110968880243
SKU0037,Sports & Fitness,2025-01-01,581.683,730.99,27.9,21.2740097326786,16228.955699999999,15551.08837449073,883.9556999999998,3850.3830215175
SKU0038,Books & Stationery,2025-01-01,539.695,575.49,42.60000000000001,39.53868493788528,22991.007000000005,22754.1177949036,3821.007000000003,4961.709572855224
SKU0039,Books & Stationery,2025-01-01,347.98600000000005,313.49,45.8,51.63275049345271,15937.758800000001,16186.350952192492,2197.758800000002,696.5258041566775
SKU0040,Books & Stationery,2025-01-01,519.99,673.99,63.10000000000001,46.72183187959775,32811.369000000006,31490.047468530087,1261.3690000000008,8129.131528731213
SKU0041,Books & Stationery,2025-01-01,282.24300000000005,250.49,51.30000000000001,58.79727542602546,14479.065900000005,14728.129521465118,1654.065900000003,28.81066495875301
SKU0042,Books & Stationery,2025-01-01,950.241,987.99,28.100000000000005,26.82597960480156,26701.772100000006,26503.799589747894,4221.7721,5043.0159059066455
SKU0043,Books & Stationery,2025-01-01,682.1600000000001,848.99,51.70000000000001,40.01983473940353,35267.67200000001,33976.4394954062,1662.6720000000046,7963.546914793908
SKU0044,Pet Supplies,2025-01-01,2063.853,2058.99,44.7,44.820006683161246,92254.22910000001,92283.94556056216,20734.229100000004,20571.93486750417
SKU0045,Pet Supplies,2025-01-01,1430.2690000000002,1338.49,30.100000000000005,31.857715345911465,43051.09690000001,42641.23341334904,9941.09690000001,7597.746532846426
SKU0046,Pet Supplies,2025-01-01,549.779,567.49,46.2,45.062426543751606,25399.789800000002,25572.4764393136,4609.7898000000005,5294.384494625377
SKU0047,Pet Supplies,2025-01-01,402.20900000000006,415.49,43.50000000000001,42.40289548887807,17496.091500000006,17617.97904667395,2271.091500000003,2776.9656255666255
SKU0048,Pet Supplies,2025-01-01,1008.3300000000002,1146.99,31.6,27.745400765225217,31863.228000000006,31823.697223705673,3423.228000000005,6852.836535002976
SKU0049,Pet Supplies,2025-01-01,2359.7500000000005,2363.99,30.90000000000001,30.84577496184005,72916.27500000004,72919.10355204025,17296.27500000002,17396.708620728165
SKU0001,Electronics,2025-01-02,11798.234000000002,10161.99,11.500000000000002,14.49734687900726,135679.69100000005,147321.894011003,43679.691000000035,31343.1189789449
SKU0002,Electronics,2025-01-02,19484.859000000004,25026.99,25.40000000000001,15.405148192133886,494915.41860000027,385544.4897530529,37715.418600000114,108251.82229464292
SKU0003,Electronics,2025-01-02,36888.645,36505.49,25.40000000000001,26.07231708466692,936971.5830000002,951782.7106111373,174971.58299999998,169613.19807112977
SKU0004,Electronics,2025-01-02,13247.934,11606.99,9.3,11.531608737177628,123205.7862,133847.26729633336,39505.786199999995,30062.7886617347
SKU0005,Electronics,2025-01-02,6950.557000000001,7752.99,21.700000000000003,18.56642848781471,150827.08690000002,143945.33440174258,20627.086900000017,32546.763474854306
SKU0006,Electronics,2025-01-02,44933.863000000005,45787.99,27.40000000000001,25.868317003280104,1231187.8462000005,1184458.2402630192,80387.84620000016,97988.92612525495
SKU0007,Electronics,2025-01-02,18210.365,14626.49,9.400000000000002,13.717197128262928,171177.43100000004,200634.44662456642,58377.431000000026,36028.08108541129
SKU0008,Groceries,2025-01-02,658.5690000000002,783.49,54.70000000000001,45.3475417411298,36023.724300000016,35529.34547875779,5938.724300000012,10588.197521136399
SKU0009,Groceries,2025-01-02,1000.77,1116.99,75.10000000000002,68.67593157944572,75157.82700000002,76710.32881492507,11322.827000000003,18335.786972396214
SKU0010,Groceries,2025-01-02,605.3190000000002,550.99,52.00000000000001,57.669344116064586,31476.588000000014,31775.231914510427,9636.58800000001,7554.107385763301
SKU0011,Groceries,2025-01-02,653.7350000000001,685.49,42.50000000000001,40.72234140335591,27783.73750000001,27914.757808586444,5683.737500000007,6739.140278841371
SKU0012,Groceries,2025-01-02,453.6070000000001,487.49,56.70000000000001,52.73723981601937,25719.51690000001,25708.877037911283,5307.516900000006,6723.47070414431
SKU0013,Groceries,2025-01-02,384.8490000000001,338.99,68.80000000000001,78.01236478857722,26477.61120000001,26445.41153967979,7213.6112000000085,4601.9493988781705
SKU0014,Apparel,2025-01-02,585.1210000000001,628.99,20.000000000000004,18.346075632256326,11702.420000000004,11539.498111932908,1702.4200000000021,2366.4602958047435
SKU0015,Apparel,2025-01-02,1978.2480000000005,2108.99,34.60000000000001,32.00169223320969,68447.38080000003,67491.2489029169,13087.38080000002,16288.541329781392
SKU0016,Apparel,2025-01-02,3299.231,2814.99,22.600000000000005,27.59261825074813,74562.62060000002,77672.94444967348,24842.62060000001,16969.184298027587
SKU0017,Apparel,2025-01-02,3222.3170000000005,3667.49,32.2,27.28341187095872,103758.60740000002,100061.6402026224,13598.607400000015,23668.086963937974
SKU0018,Apparel,2025-01-02,2415.4290000000005,2659.49,26.40000000000001,23.402482855716105,63767.32560000004,62238.66912994842,13607.325600000018,17773.95170408782
SKU0019,Apparel,2025-01-02,2220.6280000000006,1833.99,23.1,29.18129711879932,51296.50680000002,53518.20710290677,16646.506800000014,9746.261424707785
SKU0020,Home & Kitchen,2025-01-02,6556.248000000001,6238.49,22.700000000000003,24.3084824638788,148826.82960000006,151648.22476608324,35326.829600000034,30105.81244668925
SKU0021,Home & Kitchen,2025-01-02,4492.5560000000005,4992.99,27.500000000000007,23.898458817611736,123545.29000000005,119324.76589174721,19045.29000000002,28510.622384822622
SKU0022,Home & Kitchen,2025-01-02,4759.543000000001,4038.49,18.700000000000003,23.17609948713151,89003.45410000002,93596.44601778573,29163.454100000014,19432.927658964894
