SKU,Category,Base_Cost_INR,Elasticity,Mean_Comp_Price
SKU0001,Electronics,8000,-1.4398273429919848,9085.338964963503
SKU0002,Electronics,18000,-1.9007504295228896,21400.852284063258
SKU0003,Electronics,30000,-2.408589445864597,35969.61084245742
SKU0004,Electronics,9000,-1.4831731266173374,9778.28193312044
SKU0005,Electronics,6000,-1.3598232699278163,6927.8221319951335
SKU0006,Electronics,42000,-2.9443543646165127,51634.68036800486
SKU0007,Electronics,12000,-1.5844016754218735,12672.572474635037
SKU0008,Groceries,550,-1.0597568450963606,685.9578254257907
SKU0009,Groceries,850,-0.8034813367802357,985.8823783454988
SKU0010,Groceries,420,-1.0825459506519817,482.3973480839416
SKU0011,Groceries,520,-0.8809804047312063,596.2587074209246
SKU0012,Groceries,360,-0.989778806874928,426.60124087591237
SKU0013,Groceries,280,-0.9797711914021032,302.112670620438
SKU0014,Apparel,500,-1.1365401791420902,606.755653892944
SKU0015,Apparel,1600,-1.1847938154233209,1902.9829835766423
SKU0016,Apparel,2200,-1.2093747670699964,2501.4040968978106
SKU0017,Apparel,2800,-1.2388916469814486,3323.593862530414
SKU0018,Apparel,1900,-1.2041025671867862,2379.2615267639903
SKU0019,Apparel,1500,-1.176826074975565,1684.9748156021897
SKU0020,Home & Kitchen,5000,-1.3219486566417218,5715.602509124087
SKU0021,Home & Kitchen,3800,-1.279450068808488,4690.867363138686
SKU0022,Home & Kitchen,3200,-1.246601207680594,3594.2322260948904
SKU0023,Home & Kitchen,6500,-1.4045061431425876,8190.585279805353
SKU0024,Home & Kitchen,1800,-1.1955828386020064,2187.3432633819953
SKU0025,Home & Kitchen,1400,-1.174822674904365,1584.5408562043797
SKU0026,Beauty & Personal Care,900,-0.8716657227425041,1106.7971806569342
SKU0027,Beauty & Personal Care,500,-0.8740827963787674,617.547493917275
SKU0028,Beauty & Personal Care,650,-0.9771348767502588,831.1133784063261
SKU0029,Beauty & Personal Care,1800,-0.9716728018103185,2255.604060218978
SKU0030,Beauty & Personal Care,2200,-0.9757456022389442,2666.5270772506083
SKU0031,Beauty & Personal Care,450,-0.9317807641367802,559.4112450121654
SKU0032,Sports & Fitness,3000,-1.2526548641521806,3729.4384093673966
SKU0033,Sports & Fitness,900,-1.1566678028317838,1125.8745742092458
SKU0034,Sports & Fitness,1800,-1.1984825329276734,2299.7135223844284
SKU0035,Sports & Fitness,700,-1.1459532567506605,823.6518309002432
SKU0036,Sports & Fitness,2600,-1.2322519008896813,3158.682816301703
SKU0037,Sports & Fitness,550,-1.1415790926823297,692.7176381995134
SKU0038,Books & Stationery,450,-1.1356855732549107,553.8032998783455
SKU0039,Books & Stationery,300,-1.12851545995323,364.8415206812652
SKU0040,Books & Stationery,500,-1.139355003429762,663.4241553223845
SKU0041,Books & Stationery,250,-1.1266738444498707,297.43006690997566
SKU0042,Books & Stationery,800,-1.1503541761520697,927.6621593673966
SKU0043,Books & Stationery,650,-1.1467501203184116,852.7230083029198
SKU0044,Pet Supplies,1600,-1.1122248409023936,1929.9244525547442
SKU0045,Pet Supplies,1100,-0.8295861552461581,1327.2895285888078
SKU0046,Pet Supplies,450,-0.7708136897682036,566.9659975669099
SKU0047,Pet Supplies,350,-0.7702877535528593,415.20113138686133
SKU0048,Pet Supplies,900,-0.9775388119701276,1066.1659032846717
SKU0049,Pet Supplies,1800,-0.9480962235685664,2228.2027220194645
